SensZ,PinhZ,Found
0.0,0.3208074827116679,1
0.0,0.3156745629882812,1
0.0,0.31070331002783586,1
0.4300000071525574,0.3315909275086988,1
0.4270000159740448,0.3315909275086988,1
0.0,0.3156745629882812,1
0.0,0.31822032559302543,1
0.0,0.31316920931377107,1
0.367000013589859,0.3401665549442686,1
0.3620000183582306,0.32882766977945965,1
0.3595000207424164,0.32882766977945965,1
0.35600000619888306,0.32611008573169553,1
0.35200002789497375,0.32882766977945965,1
0.34700000286102295,0.32611008573169553,1
0.3450000286102295,0.32611008573169553,1
0.3400000035762787,0.32882766977945965,1
0.33500000834465027,0.33440102011470474,1
0.3320000171661377,0.3315909275086988,1
0.328000009059906,0.33440102011470474,1
0.3270000219345093,0.3315909275086988,1
0.32100000977516174,0.3315909275086988,1
0.3190000057220459,0.3315909275086988,1
0.3150000274181366,0.32882766977945965,1
0.3100000023841858,0.32611008573169553,1
0.3060000240802765,0.3208074827116679,1
0.30100002884864807,0.3208074827116679,1
0.2980000078678131,0.31316920931377107,1
0.2930000126361847,0.31316920931377107,1
0.28600001335144043,0.31070331002783586,1
0.2840000092983246,0.3082759404182434,1
0.27800002694129944,0.30588620444600895,1
0.2760000228881836,0.2966866193498884,1
0.2720000147819519,0.2922912620261863,1
0.26900002360343933,0.2880242363031763,1
0.26600000262260437,0.2838800026873033,1
0.2630000114440918,0.2778825378417969,1
0.2600000202655792,0.2740230581495497,1
0.0,0.2684307508403752,1
0.27800002694129944,0.2648276535136588,1
0.2760000228881836,0.2596007919311523,1
0.27000001072883606,0.2545762604744204,1
0.26600000262260437,0.2529443613688151,1
0.26100000739097595,0.25133325078684815,1
0.0,0.24357605168848862,1
0.0,0.22941465333450672,1
0.0,0.23075625949435763,1
0.0,0.22941465333450672,1
0.0,0.22548183070591518,1
0.0,0.22168157513221998,1
0.0,0.2204431305784087,1
0.0,0.21562470149472762,1
0.3140000104904175,0.21214688372868365,1
0.0,0.2110124084146265,1
0.0,0.2076806335449219,1
0.0,0.2003011186473866,1
0.0,0.20132306313028142,1
0.27400001883506775,0.19729660186767578,1
0.2710000276565552,0.19534317016601563,1
0.265500009059906,0.19062473610403458,1
0.0,0.1861288696864866,1
0.0,0.18525502522786458,1
0.0,0.1843893475398839,1
0.0,0.0,0
0.0,0.15235258831480755,1
0.0,0.1477877167548133,1
0.0,0.14668892332169203,1
0.0,0.14453963506789436,1
0.0,0.14348843772194603,1
0.0,0.14507103078505573,1
0.0,0.14348843772194603,1
0.0,0.14143125581912241,1
